country,iso3,residents,migrant_stock_un,heritage_pool,ratio_un,ratio_heritage,role,confederation
Curacao,CUW,148925,86000,84000,0.5774718818197079,0.564042303172738,case,CONCACAF
Albania,ALB,2761785,1207000,1700000,0.43703619217281575,0.6155439326377687,comparator,UEFA
Jamaica,JAM,2828000,1120000,NA,0.39603960396039606,NA,reference,CONCACAF
Cabo Verde,CPV,524877,194000,750000,0.369610403961309,1.4289062008813493,comparator,CAF
North Macedonia,MKD,1832700,658000,NA,0.3590331205325476,NA,reference,UEFA
Suriname,SUR,623236,196000,360000,0.31448760982998414,0.5776303037693586,comparator,CONCACAF
Trinidad and Tobago,TTO,1534937,389000,NA,0.25343059682579805,NA,reference,CONCACAF
Malta,MLT,545405,121000,NA,0.22185348502488977,NA,reference,UEFA
Montenegro,MNE,616969,135000,NA,0.21881164207602002,NA,reference,UEFA
Haiti,HTI,11470000,1790000,NA,0.15605928509154315,NA,reference,CONCACAF
Iceland,ISL,387758,49000,NA,0.12636747662201683,NA,reference,UEFA
Luxembourg,LUX,672050,84000,NA,0.12499070009671899,NA,reference,UEFA
Panama,PAN,4470000,151000,NA,0.03378076062639821,NA,reference,CONCACAF
